happiness,cond,Vsafe,riskyHi,riskyLo,choseRisky,subjectWon,partnerWon,rewardSubj,rewardPart,subject,EV,ineq,ineqAdv,ineqDisadv,sRPE,pRPE,subjDecided,socialTrial
0.100521289370586,2,-0.15,0,-0.25,1,0,1,-0.25,0,5,-0.125,1,NaN,1,-0.125,0.125,0,1
-1.9099044980411,2,0,0.75,-0.38,1,1,0,0.75,-0.38,5,0.185,1,1,NaN,0.565,-0.565,0,1
0.100521289370586,1,-0.2,0,-0.36,1,0,1,-0.36,0,5,-0.18,1,NaN,1,-0.18,0.18,1,1
0.100521289370586,2,0.25,0.62,0,1,1,1,0.62,0.62,5,0.31,0,0,0,0.31,0.31,0,1
1.58088320373822,2,0.3,0.67,0,1,1,0,0.67,0,5,0.335,1,1,NaN,0.335,-0.335,0,1
1.58088320373822,1,0.2,0.63,0,1,0,1,0,0.63,5,0.315,1,NaN,1,-0.315,0.315,1,1
1.58088320373822,1,-0.15,0,-0.3,1,0,0,-0.3,-0.3,5,-0.15,0,NaN,NaN,-0.15,-0.15,1,1
0.377165028303027,1,0.25,0.56,0,1,1,0,0.56,0,5,0.28,1,1,NaN,0.28,-0.28,1,1
0.617908663390065,1,-0.2,0,-0.56,1,0,0,-0.56,-0.56,5,-0.28,0,NaN,NaN,-0.28,-0.28,1,1
-0.10432224187105,1,-0.25,0,-1.05,1,1,0,0,-1.05,5,-0.525,1,1,NaN,0.525,-0.525,1,1
-1.0672967822192,1,0,0.55,-0.28,1,1,0,0.55,-0.28,5,0.135,1,1,NaN,0.415,-0.415,1,1
-0.224694059414569,2,-0.1,0,-0.18,1,1,1,0,0,5,-0.09,0,0,0,0.09,0.09,0,1
-0.10432224187105,2,-0.25,0,-0.46,1,1,1,0,0,5,-0.23,0,0,0,0.23,0.23,0,1
-0.10432224187105,2,-0.3,0,-0.55,1,0,1,-0.55,0,5,-0.275,1,NaN,1,-0.275,0.275,0,1
-0.585809512045127,2,0,0.15,-0.13,1,0,1,-0.13,0.15,5,0.01,1,NaN,1,-0.14,0.14,0,1
-1.0672967822192,1,-0.3,0,-0.95,1,1,1,0,0,5,-0.475,0,0,0,0.475,0.475,1,1
-0.585809512045127,1,0,0.25,-0.25,1,0,0,-0.25,-0.25,5,0,0,NaN,NaN,-0.25,-0.25,1,1
-1.42841223484976,2,0,0.4,-0.14,1,1,0,0.4,-0.14,5,0.13,1,1,NaN,0.27,-0.27,0,1
-0.182574185835056,1,-0.25,0,-0.5,1,1,0,0,-0.5,5,-0.25,1,1,NaN,0.25,-0.25,1,1
-0.182574185835056,2,0,0.4,-0.2,1,1,0,0.4,-0.2,5,0.1,1,1,NaN,0.3,-0.3,0,1
-0.182574185835056,1,-0.1,0,-0.5,1,1,1,0,0,5,-0.25,0,0,0,0.25,0.25,1,1
-0.182574185835056,1,0,0.15,-0.1,1,1,1,0.15,0.15,5,0.025,0,0,0,0.125,0.125,1,1
-0.182574185835056,2,0.25,0.7,0,1,0,1,0,0.7,5,0.35,1,NaN,1,-0.35,0.35,0,1
-0.182574185835056,1,-0.15,0,-0.25,1,0,0,-0.25,-0.25,5,-0.125,0,NaN,NaN,-0.125,-0.125,1,1
-0.182574185835056,1,0.25,0.7,0,1,0,0,0,0,5,0.35,0,NaN,NaN,-0.35,-0.35,1,1
-0.182574185835056,2,0.3,0.67,0,1,1,0,0.67,0,5,0.335,1,1,NaN,0.335,-0.335,0,1
-0.182574185835056,2,0,0.4,-0.26,1,1,1,0.4,0.4,5,0.07,0,0,0,0.33,0.33,0,1
-0.182574185835056,1,-0.1,0,-0.17,1,1,1,0,0,5,-0.085,0,0,0,0.085,0.085,1,1
-0.182574185835056,1,0.2,1,0,1,1,1,1,1,5,0.5,0,0,0,0.5,0.5,1,1
